index,sw_ticks,qpc_position,device_position,frames,flags
192,2531061532021,2531061700629,78049440,480,0
193,2531061683556,2531061801689,78049920,480,0
194,2531061683602,2531061896961,78050400,480,0
195,2531061837702,2531061997432,78050880,480,0
196,2531061990786,2531062098161,78051360,480,0
197,2531061990853,2531062198791,78051840,480,0
198,2531062143449,2531062299647,78052320,480,0
199,2531062298155,2531062401503,78052800,480,0
200,2531062298212,2531062496800,78053280,480,0
201,2531062454408,2531062597616,78053760,480,0
202,2531062606448,2531062702804,78054240,480,0
203,2531062606517,2531062798083,78054720,480,0
204,2531062762430,2531062898674,78055200,480,0
205,2531062920973,2531062999040,78055680,480,0
206,2531062921036,2531063099447,78056160,480,0
207,2531063076563,2531063200196,78056640,480,0
208,2531063076612,2531063294988,78057120,480,0
209,2531063238746,2531063400569,78057600,480,0
210,2531063387435,2531063495920,78058080,480,0
211,2531063387486,2531063596608,78058560,480,0
212,2531063544367,2531063702238,78059040,480,0
213,2531063704521,2531063799204,78059520,480,0
214,2531063704600,2531063898366,78060000,480,0
215,2531063860784,2531063998350,78060480,480,0
216,2531064016117,2531064099143,78060960,480,0
217,2531064016219,2531064199608,78061440,480,0
218,2531064171894,2531064299913,78061920,480,0
219,2531064171957,2531064395219,78062400,480,0
220,2531064328405,2531064496035,78062880,480,0
221,2531064485757,2531064596364,78063360,480,0
222,2531064485816,2531064701541,78063840,480,0
223,2531064638676,2531064802268,78064320,480,0
224,2531064789897,2531064898206,78064800,480,0
225,2531064789947,2531064998746,78065280,480,0
226,2531064946290,2531065099262,78065760,480,0
227,2531065102424,2531065200065,78066240,480,0
228,2531065102488,2531065295282,78066720,480,0
229,2531065252137,2531065402041,78067200,480,0
230,2531065408485,2531065496237,78067680,480,0
231,2531065408540,2531065597377,78068160,480,0
232,2531065565154,2531065698279,78068640,480,0
233,2531065716503,2531065799983,78069120,480,0
234,2531065716584,2531065899346,78069600,480,0
235,2531065872450,2531065999551,78070080,480,0
236,2531066027126,2531066100375,78070560,480,0
237,2531066027400,2531066201045,78071040,480,0
238,2531066187384,2531066295875,78071520,480,0
239,2531066187433,2531066401377,78072000,480,0
240,2531066344170,2531066496694,78072480,480,0
241,2531066503343,2531066597127,78072960,480,0
242,2531066503403,2531066697874,78073440,480,0
243,2531066660592,2531066799014,78073920,480,0
244,2531066810911,2531066898678,78074400,480,0
245,2531066810999,2531066999295,78074880,480,0
246,2531066967269,2531067100329,78075360,480,0
247,2531067116412,2531067195674,78075840,480,0
248,2531067116473,2531067300864,78076320,480,0
249,2531067274180,2531067396331,78076800,480,0
250,2531067274244,2531067501651,78077280,480,0
251,2531067422929,2531067596955,78077760,480,0
252,2531067580449,2531067697624,78078240,480,0
253,2531067580514,2531067798116,78078720,480,0
254,2531067735902,2531067898758,78079200,480,0
255,2531067897809,2531067998981,78079680,480,0
256,2531067897878,2531068099920,78080160,480,0
257,2531068050856,2531068200323,78080640,480,0
258,2531068208707,2531068295252,78081120,480,0
259,2531068208766,2531068400626,78081600,480,0
260,2531068361756,2531068496041,78082080,480,0
261,2531068518222,2531068596509,78082560,480,0
262,2531068518281,2531068702371,78083040,480,0
263,2531068671415,2531068797224,78083520,480,0
264,2531068671556,2531068897512,78084000,480,0
265,2531068829575,2531068998165,78084480,480,0
266,2531068980154,2531069098912,78084960,480,0
267,2531068980260,2531069199527,78085440,480,0
268,2531069136400,2531069299631,78085920,480,0
269,2531069292936,2531069401199,78086400,480,0
270,2531069293016,2531069502627,78086880,480,0
271,2531069446702,2531069596662,78087360,480,0
272,2531069604319,2531069702259,78087840,480,0
273,2531069604371,2531069797956,78088320,480,0
274,2531069758353,2531069898071,78088800,480,0
275,2531069910449,2531069998255,78089280,480,0
276,2531069910519,2531070099538,78089760,480,0
277,2531070071572,2531070199822,78090240,480,0
278,2531070231401,2531070299951,78090720,480,0
279,2531070231471,2531070395382,78091200,480,0
280,2531070387950,2531070500661,78091680,480,0
281,2531070388007,2531070596187,78092160,480,0
282,2531070542815,2531070702188,78092640,480,0
283,2531070703195,2531070797252,78093120,480,0
284,2531070703246,2531070898045,78093600,480,0
285,2531070854129,2531070998509,78094080,480,0
286,2531071015426,2531071093292,78094560,480,0
287,2531071015483,2531071198949,78095040,480,0
288,2531071171102,2531071299276,78095520,480,0
289,2531071171150,2531071399254,78096000,480,0
290,2531071337747,2531071499839,78096480,480,0
291,2531071503319,2531071600238,78096960,480,0
292,2531071503528,2531071695572,78097440,480,0
293,2531071658054,2531071796058,78097920,480,0
294,2531071808908,2531071901827,78098400,480,0
295,2531071808985,2531071997660,78098880,480,0
296,2531071960158,2531072098167,78099360,480,0
297,2531072116317,2531072199360,78099840,480,0
298,2531072116411,2531072299352,78100320,480,0
299,2531072277393,2531072399465,78100800,480,0
300,2531072277491,2531072503311,78101280,480,0
301,2531072421323,2531072595835,78101760,480,0
302,2531072573327,2531072701095,78102240,480,0
303,2531072733988,2531072801802,78102720,480,0
304,2531072734056,2531072896971,78103200,480,0
305,2531072890329,2531072997523,78103680,480,0
306,2531072890374,2531073098899,78104160,480,0
307,2531073044846,2531073198854,78104640,480,0
308,2531073206383,2531073299149,78105120,480,0
309,2531073206459,2531073400064,78105600,480,0
310,2531073362968,2531073500629,78106080,480,0
311,2531073517442,2531073597415,78106560,480,0
312,2531073517506,2531073702110,78107040,480,0
313,2531073670419,2531073802576,78107520,480,0
314,2531073670489,2531073897897,78108000,480,0
315,2531073821165,2531073998412,78108480,480,0
316,2531073980107,2531074099227,78108960,480,0
317,2531073980177,2531074199640,78109440,480,0
318,2531074136405,2531074300533,78109920,480,0
319,2531074291534,2531074395364,78110400,480,0
320,2531074291592,2531074500886,78110880,480,0
321,2531074453703,2531074597023,78111360,480,0
322,2531074606652,2531074702266,78111840,480,0
323,2531074606737,2531074797708,78112320,480,0
324,2531074759442,2531074898651,78112800,480,0
325,2531074910705,2531074998474,78113280,480,0
326,2531074913459,2531075099744,78113760,480,0
327,2531075061143,2531075200158,78114240,480,0
