index,sw_ticks,qpc_position,device_position,frames,flags,phase
174,2586794098066,2586794302586,345565920,480,0,0
175,2586794254451,2586794397878,345566400,480,0,0
176,2586794406750,2586794500119,345566880,480,0,0
177,2586794406803,2586794600272,345567360,480,0,0
178,2586794561120,2586794695501,345567840,480,0,0
179,2586794713140,2586794800978,345568320,480,0,0
180,2586794713192,2586794901002,345568800,480,0,0
181,2586794868997,2586795001548,345569280,480,0,0
182,2586794869058,2586795097022,345569760,480,0,0
183,2586795025380,2586795202394,345570240,480,0,0
184,2586795186654,2586795297405,345570720,480,0,0
185,2586795186714,2586795397836,345571200,480,0,0
186,2586795340699,2586795498685,345571680,480,0,0
187,2586795506869,2586795593817,345572160,480,0,0
188,2586795506929,2586795694360,345572640,480,0,0
189,2586795661916,2586795799546,345573120,480,0,0
190,2586795817502,2586795900013,345573600,480,0,0
191,2586795817560,2586796000698,345574080,480,0,0
192,2586795982680,2586796100617,345574560,480,0,0
193,2586795982732,2586796195881,345575040,480,0,0
194,2586796138249,2586796301466,345575520,480,0,0
195,2586796293366,2586796401695,345576000,480,0,0
196,2586796293428,2586796497300,345576480,480,0,0
197,2586796444104,2586796602734,345576960,480,0,0
198,2586796600689,2586796697908,345577440,480,0,0
199,2586796600761,2586796793240,345577920,480,0,0
200,2586796754283,2586796893486,345578400,480,0,0
201,2586796911495,2586796999108,345578880,480,0,0
202,2586796911540,2586797094308,345579360,480,0,0
203,2586797066712,2586797199816,345579840,480,0,0
204,2586797066778,2586797295698,345580320,480,0,0
205,2586797226354,2586797400753,345580800,480,0,0
206,2586797382702,2586797495953,345581280,480,0,0
207,2586797382737,2586797601605,345581760,480,0,0
208,2586797541579,2586797696705,345582240,480,0,0
209,2586797695869,2586797802290,345582720,480,0,0
210,2586797695932,2586797897404,345583200,480,0,0
211,2586797852183,2586797997935,345583680,480,0,0
212,2586798005129,2586798093442,345584160,480,0,0
213,2586798005173,2586798193444,345584640,480,0,0
214,2586798160376,2586798298826,345585120,480,0,0
215,2586798316022,2586798399274,345585600,480,0,0
216,2586798316045,2586798499986,345586080,480,0,0
217,2586798471980,2586798595024,345586560,480,0,0
218,2586798472030,2586798700496,345587040,480,0,0
219,2586798626569,2586798795574,345587520,480,0,0
220,2586798783394,2586798901300,345588000,480,0,0
221,2586798783436,2586799001859,345588480,480,0,0
222,2586798939904,2586799097114,345588960,480,0,0
223,2586799103046,2586799202295,345589440,480,0,0
224,2586799103442,2586799297726,345589920,480,0,0
225,2586799255103,2586799398150,345590400,480,0,0
226,2586799411921,2586799500236,345590880,480,0,0
227,2586799411983,2586799595307,345591360,480,0,0
228,2586799567693,2586799700651,345591840,480,0,0
229,2586799722710,2586799797359,345592320,480,0,0
230,2586799722762,2586799901799,345592800,480,0,0
231,2586799884206,2586800001864,345593280,480,0,0
232,2586799884275,2586800097225,345593760,480,0,0
233,2586800044505,2586800202841,345594240,480,0,0
234,2586800204840,2586800297915,345594720,480,0,0
235,2586800204895,2586800393332,345595200,480,0,0
236,2586800360389,2586800499299,345595680,480,0,0
237,2586800522030,2586800594283,345596160,480,0,0
238,2586800522068,2586800699631,345596640,480,0,0
239,2586800676415,2586800794909,345597120,480,0,0
240,2586800676455,2586800900655,345597600,480,0,0
241,2586800827793,2586801000802,345598080,480,0,0
242,2586800983231,2586801096240,345598560,480,0,0
243,2586800983295,2586801201326,345599040,480,0,0
244,2586801137238,2586801296471,345599520,480,0,0
245,2586801294328,2586801397439,345600000,480,0,0
246,2586801294386,2586801498070,345600480,480,0,0
247,2586801444951,2586801593323,345600960,480,0,0
248,2586801599838,2586801698837,345601440,480,0,0
249,2586801599892,2586801793892,345601920,480,0,0
250,2586801755577,2586801894317,345602400,480,0,0
251,2586801911825,2586801999973,345602880,480,0,0
252,2586801911898,2586802095112,345603360,480,0,0
253,2586802067997,2586802200517,345603840,480,0,0
254,2586802068053,2586802295860,345604320,480,0,0
255,2586802223241,2586802403437,345604800,480,0,0
