TestID,Group,Encoder,CaptureMethod,RateControl,Preset,CRF,Tune,TargetFPS,TargetKbps,PixFmt,Duration,Status,ExitCode,ActualFPS,ActualKbps,ActualWidth,ActualHeight,FileSizeKB,Command
36,G10_X265_Presets,libx265,gdigrab,crf,medium,28,,30,0,yuv420p,9.1,PASS,0,25.91,329,0,1,322,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_036_libx265_gdigrab.mp4
37,G10_X265_Presets,libx265,gdigrab,crf,veryslow,28,,30,0,yuv420p,24.2,PASS,0,12.65,282,0,1,265,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset veryslow -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_037_libx265_gdigrab.mp4
38,G11_X265_CBR,libx265,gdigrab,cbr,medium,,,30,5000,yuv420p,9.1,PASS,0,25.25,3277,0,1,3201,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -b:v 5000000 -bufsize 10000000 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_038_libx265_gdigrab.mp4
39,G11_X265_CBR,libx265,gdigrab,cbr,medium,,,30,10000,yuv420p,10.1,PASS,0,25,4025,0,1,3914,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -b:v 10000000 -bufsize 20000000 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_039_libx265_gdigrab.mp4
40,G11_X265_CBR,libx265,gdigrab,cbr,medium,,,30,35000,yuv420p,10.1,PASS,0,24.25,3147,0,1,3073,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -b:v 35000000 -bufsize 70000000 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_040_libx265_gdigrab.mp4
41,G11_X265_CBR,libx265,gdigrab,cbr,medium,,,30,50000,yuv420p,10.1,PASS,0,26.38,3051,0,1,2980,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -b:v 50000000 -bufsize 100000000 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_041_libx265_gdigrab.mp4
42,G19_X264_Game,libx264,gdigrab,crf,ultrafast,23,zerolatency,60,0,yuv420p,9.1,PASS,0,30.25,3780,0,1,3692,-hide_banner -loglevel info -f gdigrab -framerate 60 -i desktop -c:v libx264 -preset ultrafast -crf 23 -tune zerolatency -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_042_libx264_gdigrab.mp4
43,G19_X264_Game,libx264,gdigrab,crf,veryfast,23,zerolatency,60,0,yuv420p,9.1,PASS,0,29,1487,0,1,1446,-hide_banner -loglevel info -f gdigrab -framerate 60 -i desktop -c:v libx264 -preset veryfast -crf 23 -tune zerolatency -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_043_libx264_gdigrab.mp4
44,G20_Stress,libx264,gdigrab,crf,ultrafast,20,zerolatency,60,0,yuv420p,9.1,PASS,0,30.06,1038,0,1,1012,-hide_banner -loglevel info -f gdigrab -framerate 60 -i desktop -c:v libx264 -preset ultrafast -crf 20 -tune zerolatency -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_044_libx264_gdigrab.mp4
45,G20_Stress,libx265,gdigrab,crf,fast,26,,60,0,yuv420p,9.1,PASS,0,27.94,192,0,1,188,-hide_banner -loglevel info -f gdigrab -framerate 60 -i desktop -c:v libx265 -preset fast -crf 26 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_045_libx265_gdigrab.mp4
